Date,Amount,Description,
Apr-12,3.07,"Direct Deposit - Transfer Paypal
XXXXXXXXX8961",5
Mar-19,18.88,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Mar-20,25,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Mar-21,149.81,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Mar-25,34.38,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Mar-27,3.4,"7528 Debit Card Purchase Ba C-Store Cafe
",2
Mar-29,52.52,7528 Debit Card Purchase Paypal *Khan,5
Mar-29,5,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
1-Apr,28.62,"7528 Debit Card Purchase DD Doordash
Littlecae",2
1-Apr,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Apr-02,6.72,"7528 Recurring Debit Card Google
*Gsuite_mansal",5
Apr-02,22,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-05,105.84,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-08,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Apr-08,64.98,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-08,57.59,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Apr-08,30,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-08,5,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-10,17.88,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Apr-11,51.45,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Apr-11,69.57,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-11,99,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Apr-12,40,"7528 Debit Card Purchase Paypal *Unhcr
",3
Apr-12,1.2,Intl Purch & Adv Fee   Vis 0410              Ch,5
Apr-15,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Mar-22,10,"Web Pmt- IAT Paypal Maram Susli
1033265339796",3
Mar-25,85,"Zel To Adam Gray
",5
Mar-25,605.99,Web Pmt- Remittance Remitly Inc,6
Apr-02,8.48,"Web Pmt- Inst Xfer Paypal Walmart Com
",5
Apr-03,83.84,Web Pmt- Inst Xfer Paypal Walmartplus,5
Apr-05,"2,500", Zel To Aaqib Mohammed,7
Apr-04,736.14,Zel To Cleveland Premium Rentals,4
Apr-09,62.4,"Web Pmt Recur- Payment Deserve Inc
1437817",1
Apr-10,66.96,"Web Pmt- ACH Pmt Amex Epayment M9058
",8
Apr-11,24.29,Web Pmt- Internet,5
Apr-11,64,"Web Pmt- Inst Xfer Paypal Najaminstit Naj
",1
Apr-11,36.14,Web Pmt- Inst Xfer Paypal Walmart Com,1
Jan-16,7.31,"Direct Deposit - Transfer Paypal
XXXXXXXXX2541",5
Dec-18,20,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Dec-18,9.45,"7528 Debit Card Purchase Chipotle 3828
",2
Dec-18,22.49,7528 Debit Card Purchase Tst* Indian Flame,2
Dec-18,4.85,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
Dec-19,15.7,"7528 Debit Card Purchase Rascal House
Universit",2
Dec-19,6.5,"7528 Debit Card Purchase Insomnia Cookies-
Clev",2
Dec-20,5.97,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
Dec-21,12,"7528 Debit Card Purchase Tst* Chopstick
Chinese",2
Dec-21,12.15,"7528 Debit Card Purchase Chipotle 3828
",2
Dec-21,4.79,POS Purchase Walgreens Stor Cleveland He,2
Dec-26,30,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Dec-26,16.56,"7528 Debit Card Purchase Rascal House
Universit",2
Dec-26,6.55,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
Dec-26,2.5,"POS Purchase Dollar General Cleveland He
Oh",2
Dec-26,10.7,"7528 Debit Card Purchase Paypal *Khan
Muhanned",2
Dec-26,12.8,"7528 Debit Card Purchase Lyft  855-8659553
Ca",5
Dec-26,11.76,"7528 Debit Card Purchase Rite Aid 03043
",5
Dec-26,6.55,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Dec-26,4.43,"POS Purchase Dollar General Cleveland He
Oh",2
Dec-27,15.06,"7528 Debit Card Purchase Rascal House
Universit",2
Dec-27,10.33,"7528 Debit Card Purchase Subway 47775
Clevelan",2
Dec-27,5.58,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
Dec-28,24.13,"7528 Debit Card Purchase Domino's 2145
Clevela",2
Dec-29,104,"7528 Debit Card Purchase Paypal *Khan
Muhanned",1
Dec-29,2,"POS Purchase Dollar General Cleveland He
Oh",2
Jan-02,30,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Jan-02,73.66,"7528 Debit Card Purchase Tst* Indian Flame
",2
Jan-02,4.79,POS Purchase Walgreens Stor Cleveland He,2
Jan-02,6.49,"7528 Recurring Debit Card Google*Gsuite
Mansalv",5
Jan-04,1.75,"POS Purchase Dollar General Cleveland He
Oh",2
Jan-05,27.33,"7528 Debit Card Purchase Hunan Coventry
",2
Jan-08,28.26,7528 Debit Card Purchase Subway 47302,2
Jan-08,9.56,"7528 Debit Card Purchase Rascal House
Clevelan",2
Jan-08,53.96,"7528 Debit Card Purchase Paraside Biryani
Point",2
Jan-09,31.23,"7528 Debit Card Purchase Domino's 2145
Clevela",2
Jan-11,8.68,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
Jan-12,10.48,"POS Purchase Cedar Hill Rac Cleveland Oh
",2
Jan-12,3.59,POS Purchase Dollar General Cleveland He,2
Jan-16,30,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Jan-16,22.2,"7528 Debit Card Purchase Gofundme Build
Limbs f",3
Jan-16,63.5,"7528 Debit Card Purchase Rumis Market &
Grill",2
Jan-16,11.15,"7528 Debit Card Purchase Paypal *Khan
Muhanned",1
Jan-16,7.54,"7528 Debit Card Purchase Paypal *Khan
Muhanned",1
Dec-20,486.99,"Web Pmt- Remittance Remitly Inc
R22Sgr7J23Zuwg6",6
Dec-20,3,"Web Pmt- Inst Xfer Paypal Change Org
",1
Dec-27,410,Web Pmt- Payment Filing Fee 6Pldjuovvc1,5
Dec-29,104,"Web Pmt- IAT Paypal
Mz International 1031568148641",5
Jan-02,730,"Zel To Cleveland Premium Rentals
",4
Jan-08,131.44,Web Pmt- IAT Paypal Gfm*Gofundme,3
Jan-09,40.81,"Web Pmt Recur- Payment Deserve Inc
1437817",1
Jan-12,486.99,"Web Pmt- Remittance Remitly Inc
Ud2Ywafa8X9Crut",6
Jan-16,367.25,"Web Pmt- ACH Pmt Amex Epayment M7122
",5
Jan-16,7.31,Web Pmt- Inst Xfer Paypal Walmart Com,5
Jan-17,167.42,Web Pmt- ACH Pmt Amex Epayment M4948,5
Feb-06,50,Zel From Ornela B Doris,9
Feb-09,"1,983.35", Direct Deposit - Payrll Dep,9
Jan-19,26.21,"7528 Debit Card Purchase DD *Doordash
Paradiseb",2
Jan-22,14.67,"7528 Debit Card Purchase Lyft  855-8659553
Ca",5
Jan-22,26.01,"7528 Debit Card Purchase DD Doordash
Rascalhou",2
Jan-23,47.33,"7528 Debit Card Purchase DD Doordash
Indianfla",2
Jan-25,20.99,"7528 Debit Card Purchase DD Doordash
Rascalhou",2
Jan-26,13.65,"7528 Debit Card Purchase DD Doordash
Baskin-Ro",2
Jan-29,20,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Jan-29,82.05,"7528 Debit Card Purchase DD Doordash
Indianfla",2
Jan-30,16.99,"7528 Debit Card Purchase Lyft  855-8659553
Ca",5
Feb-02,6.49,"7528 Recurring Debit Card Google*Gsuite
Mansalv",5
Feb-05,25.77,"7528 Debit Card Purchase DD Doordash
Indianfla",2
Feb-05,10.82,"7528 Debit Card Purchase Lyft  855-8659553
Ca",5
Feb-05,20,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Feb-07,23.98,"7528 Debit Card Purchase DD Doordash
Rascalhou",2
Feb-08,25.97,"7528 Debit Card Purchase Tst* Cilantro
Taqueria",2
Feb-09,12.99,"7528 Debit Card Purchase Lyft  855-8659553
Ca",5
Feb-12,30,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Feb-12,30.54,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Feb-12,49.68,"7528 Debit Card Purchase Rumis Market &
Grill",2
Feb-13,15.17,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Feb-15,2.49,"POS Purchase Walgreens Stor South Euclid
Oh",2
Jan-31,37.79,"Web Pmt- Internet
Amazon.Com Servi 043000093133018",5
Feb-07,100.61,"Web Pmt- Payments
Ebay Comowrpnca6 Bnommfyss2Rxx2F",5
Feb-07,56.79,"Web Pmt Recur- Payment Deserve Inc
1437817",1
Feb-12,728.28,"Zel To Cleveland Premium Rentals
",4
Feb-12,486.99,Web Pmt- Remittance Remitly Inc,6
Feb-12,74.13,Web Pmt- ACH Pmt Amex Epayment M1158,5
Feb-26,100,"Zel From Ornela B Doris
",9
Mar-04,80,Zel From Ornela B Doris,9
Feb-20,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Feb-20,18.88,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Feb-20,23.51,"7528 Debit Card Purchase DD Doordash
Hongkongk",2
Feb-21,403,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Feb-23,36.8,"7528 Debit Card Purchase Rumis Market &
Grill",2
Feb-26,30,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Feb-26,17.48,"POS Purchase Cedar Hill Rac Cleveland Oh
",2
Feb-27,54.45,7528 Debit Card Purchase DD Doordash,2
Feb-29,31.27,"7528 Debit Card Purchase DD Doordash
Halalflav",2
Feb-29,4.11,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Feb-29,29.63,"7528 Debit Card Purchase DD Doordash
Littlecae",2
1-Mar,29.54,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Mar-04,6.49,"7528 Recurring Debit Card Google
*Gsuite_mansal",5
Mar-04,34.38,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Mar-04,28.93,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Mar-04,223.06,"7528 Debit Card Purchase Paypal *Khan
Muhanned",1
Mar-05,25.3,"7528 Debit Card Purchase Paypal *Khan
Muhanned",1
Mar-06,50.44,"7528 Debit Card Purchase Tst* Aladdin's
Eatery",2
Mar-07,77.92,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Mar-08,50,"7528 Debit Card Purchase Paypal *Khan
Muhanned",5
Mar-11,32.76,"7528 Debit Card Purchase DD Doordash
Cilantrot",2
Mar-11,10,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Mar-11,30,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Mar-11,21.4,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Mar-11,29.54,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Mar-12,68.9,"7528 Debit Card Purchase Fh* Sam Cobb
Farms",1
Mar-18,30,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Mar-18,18.88,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Mar-18,59.59,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Feb-23,3.5,"Zelle To  Kaseem Abdullah
",2
Mar-07,33.26,Web Pmt Recur- Payment Deserve Inc,1
Mar-11,748.28,"Zel To Cleveland Premium Rentals
",4
Mar-11,611.3,Web Pmt- Remittance Remitly Inc,6
Mar-18,64.94,Web Pmt- ACH Pmt Amex Epayment,5
Apr-22,451,"Direct Deposit - Taxrefunds
STATE OF OHIO XXXXXX2278",9
Apr-18,26.12,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Apr-22,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Apr-22,15.41,"7528 Debit Card Purchase Tst* Build The Pho
",2
Apr-22,5.1,7528 Debit Card Purchase Tst* Build The Pho,2
Apr-22,34.38,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Apr-22,10.44,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Apr-22,41.05,"7528 Debit Card Purchase N Mart  Cleveland
Oh",2
Apr-23,20.99,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
Apr-23,11.85,7528 Debit Card Purchase Subway 47775,2
Apr-23,7.5,"7528 Debit Card Purchase Tst* Beyond
Juicery &",2
Apr-23,17.88,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Apr-24,13.81,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
Apr-24,1.6,7528 Debit Card Purchase Flgc Vending,2
Apr-24,24.65,"7528 Debit Card Purchase Cafe Ah-Roma-
Cleveland",2
Apr-24,14.72,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
Apr-24,31.04,7528 Debit Card Purchase DD Doordash,2
Apr-25,17.88,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Apr-29,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Apr-29,34.38,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Apr-29,17.9,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Apr-30,31.78,"7528 Debit Card Purchase DD Doordash
Cilantrot",2
Apr-30,5.13,"7528 Debit Card Purchase Ba C-Store Cafe
",2
1-May,9.45,7528 Debit Card Purchase Chipotle 3828,2
May-02,7.77,"7528 Recurring Debit Card Google
*Gsuite_mansal",5
May-03,9.29,"7528 Debit Card Purchase Subway 47775
Clevelan",2
May-06,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
May-06,54.8,"7528 Debit Card Purchase Cle Fairfax
Mrkt#654",1
May-06,29.93,"7528 Debit Card Purchase DD Doordash
Urbankitc",2
May-06,5.69,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
May-07,18.98,"7528 Debit Card Purchase DD Doordash
Chinasear",2
May-07,34.79,"7528 Debit Card Purchase DD Doordash
Urbankitc",2
May-08,10.21,"7528 Debit Card Purchase Subway 47775
Clevelan",2
May-08,6.95,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
May-09,62.61,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
May-10,27.52,"7528 Debit Card Purchase Tst* Luna Bakery &
Caf",2
May-10,32.1,"7528 Debit Card Purchase DD Doordash
Urbankitc",2
May-13,8.54,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
May-13,50,7528 Debit Card Purchase Sq *Uqbah Mosque,3
May-13,30,"7528 Debit Card Purchase Paypal *Khan
Muhanned",1
May-13,17.9,"7528 Debit Card Purchase DD Doordash
Littlecae",2
May-13,18.15,"7528 Debit Card Purchase Tst* Beyond
Juicery &",2
May-13,9.29,"7528 Debit Card Purchase Subway 47775
Clevelan",2
May-13,12.75,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
May-13,72.32,POS Purchase T J Maxx #875 South Euclid,5
May-13,10.21,"7528 Debit Card Purchase Tst* Milky Way -
Cleve",2
May-14,13.82,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
May-14,7.99,7528 Debit Card Purchase Sq *Mitchell's Ice,2
May-14,11.59,"POS Purchase Cedar Hill Rac Cleveland Oh
",2
May-15,10.25,7528 Debit Card Purchase Tst* Aladdin's,2
May-15,9.59,"7528 Debit Card Purchase Brueggers 3786
",2
May-15,14.32,7528 Debit Card Purchase DD Doordash,2
May-15,8.58,"7528 Debit Card Purchase DD Doordash
Aladdinse",2
May-16,9.45,"7528 Debit Card Purchase Chipotle 3828
",2
May-16,7.88,7528 Debit Card Purchase Sq *Mitchell's Ice,2
Apr-19,500,"Zel To Aaqib Mohammed
",7
Apr-22,485.99,Web Pmt- Remittance Remitly Inc,6
May-06,"1,482", Web Pmt- Remittance Remitly Inc,6
May-02,754.17,Zel To Cleveland Premium Rentals,4
May-07,171.95,"Web Pmt Recur- Payment Deserve Inc
1437817",1
May-09,15.98,"Web Pmt- Internet
Amazon Marketpla 043000096738038",5
May-13,50,"Web Pmt- IAT Paypal Bdair Ali
1034321514672",3
May-14,43.19,"Web Pmt- Internet
Amazon Marketpla 043000096222428",5
May-15,66.96,Web Pmt- ACH Pmt Amex Epayment ,8
May-17,5.5,"7528 Debit Card Purchase Tst* Luna Bakery &
Caf",2
May-17,24.77,"7528 Debit Card Purchase DD Doordash
Indianfla",2
May-17,7.99,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
May-20,8.24,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
May-20,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
May-20,6.79,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
May-20,17.9,7528 Debit Card Purchase DD Doordash,2
May-20,62.11,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
May-20,4.95,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
May-20,62.11,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
May-20,10.21,"7528 Debit Card Purchase Subway 47775
Clevelan",2
May-20,8.2,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
May-21,38.43,"7528 Debit Card Purchase Rumi`s Market
Clevela",1
May-21,3.25,"7528 Debit Card Purchase Tst* Aladdin's
Eatery",2
May-21,13.02,"7528 Debit Card Purchase DD Doordash
Chinadrag",2
May-22,32.45,"7528 Debit Card Purchase DD Doordash
Marottas",2
May-22,4.89,"7528 Debit Card Purchase Brueggers 3786
",2
May-22,7.08,7528 Debit Card Purchase Brueggers 3786,2
May-22,6.85,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
May-23,11.15,"7528 Debit Card Purchase Chipotle 3828
",2
May-28,9.89,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
May-28,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
May-28,11.4,"7528 Debit Card Purchase Tst* Saucy Brew
Works-",2
May-28,10.69,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
May-28,19.99,7528 Debit Card Purchase Rumi`s Market,1
May-28,2.29,"7528 Debit Card Purchase Rumi`s Market
Clevela",1
May-28,10.62,"7528 Debit Card Purchase Tst* Luna Bakery &
Caf",2
May-28,12.54,"7528 Debit Card Purchase DD Doordash
Littlecae",2
May-29,62.11,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
May-29,13.08,"POS Purchase Cedar Hill Rac Cleveland Oh
",2
May-29,6.95,7528 Debit Card Purchase Sq *Mitchell's Ice,2
May-31,56.58,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Jun-03,10.25,"7528 Debit Card Purchase Tst* Aladdin's
Eatery",2
Jun-03,9.91,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
Jun-03,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Jun-03,7.47,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
Jun-03,14.42,7528 Debit Card Purchase DD Doordash,2
Jun-03,27.19,"7528 Debit Card Purchase DD Doordash
Indianfla",2
Jun-03,7.77,"7528 Recurring Debit Card Google  650-
2530000 C",5
Jun-03,48.85,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
Jun-03,28.84,7528 Debit Card Purchase Lyft  Lyft.Com Ca,5
Jun-03,32.68,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Jun-04,12.89,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
Jun-04,25.25,7528 Debit Card Purchase Subway 47302,2
Jun-05,10.78,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
Jun-06,82.67,7528 Debit Card Purchase Walmart.Com,1
Jun-06,56.59,"7528 Debit Card Purchase DD Doordash
Paradiseb",2
Jun-06,12.86,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
Jun-07,37.74,7528 Debit Card Purchase Pp*Bombay Chaat,2
Jun-07,15.78,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
Jun-10,40,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Jun-10,14.42,"7528 Debit Card Purchase DD Doordash
Littlecae",2
Jun-10,153.8,"7528 Debit Card Purchase Crowdfund*
Crowdfunder",3
Jun-10,6.85,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
Jun-10,4.61,"Intl Purch & Adv Fee   Vis 0608              Gb
",5
Jun-11,57.19,7528 Debit Card Purchase DD Doordash,2
Jun-12,99,"7528 Recurring Debit Card Unitedhealthcare
E&I",5
Jun-17,40,"7528 Debit Card Purchase Sq *Uqbah Mosque
Found",3
Jun-17,8.16,"7528 Debit Card Purchase Lyft  Lyft.Com Ca
",5
Jun-17,67.61,7528 Debit Card Purchase DD Doordash,2
Jun-17,11.59,"POS Purchase Cedar Hill Rac Cleveland Oh
",2
Jun-17,9.29,7528 Debit Card Purchase Subway 47775,2
Jun-17,5.69,"7528 Debit Card Purchase Sq *Mitchell's Ice
Cre",2
May-17,3.5,"Zelle To  Kaseem Abdullah
",2
May-20,37.78,Web Pmt- Internet,5
May-31,3.5,"Zelle To  Kaseem Abdullah
",2
Jun-05,759.25,Zel To Cleveland Premium Rentals,4
Jun-07,58.16,"Web Pmt Recur- Payment Deserve Inc
1437817",1
Jun-17,603.99,"Web Pmt- Remittance Remitly Inc
L6Y97Nx6Clzbwgc",6
Jun-17,177.76,Web Pmt- ACH Pmt Amex Epayment M8124,1